aweme_id,create_datetime,create_date,aweme_url,video_file,download_status,file_size_bytes,engagement_total,liked_count,collected_count,comment_count,share_count,error,probe_status,width,height,fps,frame_count,duration_seconds
7583383067910655281,2025-12-13 16:39:50,2025-12-13,https://www.douyin.com/video/7583383067910655281,raw/assets/Akkkk缺失视频/2025-12-13_7583383067910655281.mp4,downloaded,2170479,1898,1619,74,173,32,,ok,1080,1440,30.000,779,25.967
7580006065296655461,2025-12-04 14:14:57,2025-12-04,https://www.douyin.com/video/7580006065296655461,raw/assets/Akkkk缺失视频/2025-12-04_7580006065296655461.mp4,downloaded,25155805,13559,9666,1282,1557,1054,,ok,1080,1920,30.000,8274,275.800
7576308702840648699,2025-11-24 15:07:15,2025-11-24,https://www.douyin.com/video/7576308702840648699,raw/assets/Akkkk缺失视频/2025-11-24_7576308702840648699.mp4,downloaded,38552644,3145,2420,250,284,191,,ok,720,1280,30.000,14149,471.633
7574817898611755129,2025-11-20 14:42:09,2025-11-20,https://www.douyin.com/video/7574817898611755129,raw/assets/Akkkk缺失视频/2025-11-20_7574817898611755129.mp4,downloaded,32797211,15394,11083,2914,231,1166,,ok,1080,1920,24.373,18354,753.033
7569669504134259449,2025-11-06 17:43:57,2025-11-06,https://www.douyin.com/video/7569669504134259449,raw/assets/Akkkk缺失视频/2025-11-06_7569669504134259449.mp4,downloaded,33557308,6597,5424,822,143,208,,ok,576,1024,30.000,9269,308.967
7566250228207291685,2025-10-28 12:35:13,2025-10-28,https://www.douyin.com/video/7566250228207291685,raw/assets/Akkkk缺失视频/2025-10-28_7566250228207291685.mp4,downloaded,36801361,12546,9944,1494,263,845,,ok,576,1024,29.616,7944,268.233
7561862240354569529,2025-10-16 16:47:42,2025-10-16,https://www.douyin.com/video/7561862240354569529,raw/assets/Akkkk缺失视频/2025-10-16_7561862240354569529.mp4,downloaded,57102375,6013,4715,748,283,267,,ok,576,1024,30.000,14728,490.933
7555898067313184060,2025-09-30 15:03:32,2025-09-30,https://www.douyin.com/video/7555898067313184060,raw/assets/Akkkk缺失视频/2025-09-30_7555898067313184060.mp4,downloaded,59341528,97766,64653,24825,730,7558,,ok,720,1280,30.000,19433,647.767
7555142563020901691,2025-09-28 14:11:49,2025-09-28,https://www.douyin.com/video/7555142563020901691,raw/assets/Akkkk缺失视频/2025-09-28_7555142563020901691.mp4,downloaded,15109008,1656,1425,111,2,118,,ok,1080,1920,30.000,5044,168.133
7552535689632484666,2025-09-21 13:35:49,2025-09-21,https://www.douyin.com/video/7552535689632484666,raw/assets/Akkkk缺失视频/2025-09-21_7552535689632484666.mp4,downloaded,60071704,3771,3016,312,205,238,,ok,720,1280,30.000,22670,755.667
7551813673960230201,2025-09-19 14:54:01,2025-09-19,https://www.douyin.com/video/7551813673960230201,raw/assets/Akkkk缺失视频/2025-09-19_7551813673960230201.mp4,downloaded,35528703,5367,4062,936,81,288,,ok,1080,1920,30.000,18243,608.100
7550684898451246394,2025-09-16 13:53:50,2025-09-16,https://www.douyin.com/video/7550684898451246394,raw/assets/Akkkk缺失视频/2025-09-16_7550684898451246394.mp4,downloaded,21135378,5658,4496,774,121,267,,ok,1080,1920,30.000,7839,261.300
